CycID,JTK_period,JTK_adjphase
17_neuron2_b.npy,45,32.5
17_neuron4_b.npy,56,47
22_neuron1_b.npy,48,20.5
24_neuron4_b.npy,48,43
25_neuron1_b.npy,51,19
33_neuron1_b.npy,46,35.5
37_neuron2_b.npy,41,40
44_neuron1_b.npy,51,20
62_neuron2_b.npy,55,40.5
64_neuron3_b.npy,56,21
68_neuron1_b.npy,45,8
68_neuron2_b.npy,56,13
77_neuron2_b.npy,49,43
87_neuron1_b.npy,40,19
13_neuron2_b.npy,44,24.5
13_neuron3_b.npy,42,26
13_neuron4_b.npy,43,27.5
24_neuron1_b.npy,0,0
24_neuron8_b.npy,47,11.5
27_neuron6_b.npy,56,41
27_neuron8_b.npy,41,5
28_neuron4_b.npy,47,18.5
32_neuron1_b.npy,42,18
32_neuron4_b.npy,56,18.5
38_neuron1_b.npy,54,44.5
38_neuron2_b.npy,44,9.5
38_neuron4_b.npy,51,44
42_neuron2_b.npy,54,14.5
42_neuron3_b.npy,41,32
52_neuron2_b.npy,56,45.5
54_neuron5_b.npy,44,26.5
63_neuron2_b.npy,49,36
66_neuron1_b.npy,47,13.5
76_neuron2_b.npy,45,7.5
78_neuron3_b.npy,56,53
83_neuron3_b.npy,42,28
86_neuron2_b.npy,56,19
87_neuron3_b.npy,42,29.5
