Neuron ID	Day to day continuity problem	Max_min_alpha problems
13_neuron3_before.npy',		1
21_neuron12before.npy',		0
21_neuron1_before.npy',		1
21_neuron2_before.npy',		1
21_neuron3_before.npy',		1
21_neuron4_before.npy',		1
21_neuron9_before.npy',		0
23_neuron2_before.npy',		1
24_neuron11before.npy',		1
24_neuron2_before.npy',	x	0
24_neuron4_before.npy',		1
24_neuron5_before.npy',		1
24_neuron6_before.npy',		1
24_neuron8_before.npy',		1
25_neuron2_before.npy',		1
25_neuron6_before.npy',		1
25_neuron7_before.npy',		1
26_neuron1_before.npy',		1
26_neuron4_before.npy',		1
26_neuron5_before.npy',		1
26_neuron7_before.npy',		1
26_neuron8_before.npy',	x	0
31_neuron11before.npy',		1
31_neuron4_before.npy',		1
31_neuron9_before.npy',		1
32_neuron3_before.npy',		1
32_neuron4_before.npy',		1
32_neuron5_before.npy',		1
32_neuron9_before.npy',		1
33_neuron1_before.npy',		1
33_neuron2_before.npy',		1
33_neuron3_before.npy',		1
33_neuron5_before.npy',		1
33_neuron6_before.npy',		1
33_neuron7_before.npy',		0
35_neuron1_before.npy',		1
35_neuron2_before.npy',		1
35_neuron4_before.npy',		0
35_neuron6_before.npy',	x	0
35_neuron7_before.npy',		1
35_neuron9_before.npy',		1
36_neuron10before.npy',		1
36_neuron13before.npy',		1
36_neuron3_before.npy',		1
37_neuron10before.npy',	x	0
37_neuron12before.npy',		0
38_neuron5_before.npy',		1
44_neuron1_before.npy',		1
44_neuron2_before.npy',		1
46_neuron2_before.npy',		1
54_neuron4_before.npy',		1
54_neuron6_before.npy',		1
54_neuron7_before.npy',	x	0
54_neuron8_before.npy',		1
56_neuron12before.npy',		1
56_neuron17before.npy',		1
56_neuron18before.npy',		1
56_neuron19before.npy',		1
56_neuron6_before.npy',		0
63_neuron1_before.npy',		1
63_neuron4_before.npy',	x	0
65_neuron10before.npy',		1
65_neuron11before.npy',		1
65_neuron5_before.npy',		0
65_neuron6_before.npy',		1
65_neuron7_before.npy',		0
65_neuron8_before.npy',		1
72_neuron3_before.npy',		1
76_neuron9_before.npy',		1
78_neuron4_before.npy',		1
82_neuron1_before.npy',		1
83_neuron1_before.npy',		1
83_neuron3_before.npy',		1
85_neuron2_before.npy'		1
