Neuron ID	Day to day continuity problem	Max_min_alpha problems
12_neuron9_before.npy',		0
17_neuron13before.npy',		1
17_neuron14before.npy',		1
17_neuron17before.npy',		0
17_neuron1_before.npy',	x	0
17_neuron7_before.npy',		1
27_neuron5_before.npy',		1
32_neuron1_before.npy',		0
32_neuron2_before.npy',		0
45_neuron2_before.npy',	x	0
48_neuron3_before.npy',		0
53_neuron2_before.npy',		1
54_neuron2_before.npy',		1
56_neuron1_before.npy',		1
64_neuron3_before.npy',		0
64_neuron8_before.npy',		0
66_neuron1_before.npy',		1
71_neuron1_before.npy	x	0
