Neuron ID	Day to day continuity problem	Stable Rate Histogram
14_neuron2_before.npy',		1
16_neuron2_before.npy',		1
16_neuron3_before.npy',		1
17_neuron1_before.npy',		1
17_neuron2_before.npy',		1
17_neuron3_before.npy',		0
17_neuron5_before.npy',		0
21_neuron3_before.npy',		0
23_neuron2_before.npy',		0
23_neuron4_before.npy',		1
23_neuron5_before.npy',		0
24_neuron3_before.npy',		0
24_neuron5_before.npy',		0
24_neuron6_before.npy',		0
27_neuron2_before.npy',	x	0
27_neuron3_before.npy',		1
28_neuron4_before.npy',		1
31_neuron1_before.npy',		1
31_neuron4_before.npy',		0
34_neuron1_before.npy',		0
34_neuron5_before.npy',		0
34_neuron6_before.npy',		0
43_neuron8_before.npy',		0
44_neuron3_before.npy',		1
44_neuron4_before.npy',		1
45_neuron2_before.npy',		0
45_neuron4_before.npy',		1
45_neuron7_before.npy',		0
47_neuron2_before.npy',		0
47_neuron4_before.npy',		1
51_neuron2_before.npy',		1
51_neuron3_before.npy',		0
54_neuron1_before.npy',		1
54_neuron2_before.npy',		0
56_neuron3_before.npy',		0
57_neuron4_before.npy',		1
62_neuron2_before.npy',		1
63_neuron2_before.npy',		0
63_neuron5_before.npy',		1
64_neuron1_before.npy',		0
65_neuron2_before.npy',		1
65_neuron3_before.npy',		1
66_neuron3_before.npy',		0
72_neuron1_before.npy',	x	0
73_neuron10before.npy',		0
73_neuron2_before.npy',		1
73_neuron4_before.npy',		1
73_neuron6_before.npy',		0
74_neuron2_before.npy',		0
74_neuron5_before.npy',	x	0
74_neuron6_before.npy',		1
75_neuron1_before.npy',		1
75_neuron2_before.npy',	x	0
75_neuron6_before.npy',	x	0
76_neuron2_before.npy',		1
76_neuron3_before.npy',		0
76_neuron5_before.npy',		0
76_neuron7_before.npy',		1
78_neuron1_before.npy',	x	0
78_neuron3_before.npy',		1
78_neuron4_before.npy',		0
78_neuron7_before.npy',	x	0
82_neuron1_before.npy',		0
82_neuron4_before.npy',		0
83_neuron1_before.npy',		0
83_neuron5_before.npy',		0
83_neuron6_before.npy',		0
84_neuron1_before.npy',		0
85_neuron5_before.npy',		1
85_neuron7_before.npy',		1
86_neuron1_before.npy',		0
86_neuron2_before.npy',		0
87_neuron6_before.npy		0
