CycID,JTK_period,JTK_adjphase
16_neuron2_b.npy,46,2.5
17_neuron1_b.npy,50,6
17_neuron2_b.npy,48,0.5
17_neuron3_b.npy,56,12.5
21_neuron3_b.npy,46,8
23_neuron2_b.npy,56,54.5
23_neuron4_b.npy,50,22
27_neuron1_b.npy,49,21
31_neuron3_b.npy,56,27
34_neuron1_b.npy,56,50.5
45_neuron2_b.npy,56,39
45_neuron3_b.npy,45,3
51_neuron2_b.npy,48,43
54_neuron1_b.npy,52,15
56_neuron1_b.npy,51,37.5
56_neuron3_b.npy,45,1.5
57_neuron4_b.npy,45,22
58_neuron2_b.npy,40,5
58_neuron4_b.npy,49,36
62_neuron2_b.npy,42,15.5
63_neuron2_b.npy,50,36
64_neuron2_b.npy,52,6.5
72_neuron1_b.npy,56,15
74_neuron2_b.npy,46,27
74_neuron6_b.npy,47,20.5
75_neuron2_b.npy,50,11.5
76_neuron3_b.npy,49,7.5
78_neuron1_b.npy,42,32
78_neuron5_b.npy,54,5
86_neuron2_b.npy,50,41.5
14_neuron2_b.npy,53,0
16_neuron3_b.npy,47,23.5
17_neuron5_b.npy,40,17.5
21_neuron2_b.npy,41,29
21_neuron5_b.npy,45,6
23_neuron1_b.npy,56,34
23_neuron5_b.npy,50,32.5
24_neuron3_b.npy,56,46.5
24_neuron5_b.npy,53,10.5
24_neuron6_b.npy,54,4.5
27_neuron2_b.npy,47,5
27_neuron3_b.npy,43,7
28_neuron4_b.npy,53,0
31_neuron1_b.npy,56,2.5
31_neuron4_b.npy,56,4.5
33_neuron4_b.npy,56,14
34_neuron4_b.npy,56,50
34_neuron5_b.npy,56,49.5
34_neuron6_b.npy,56,49
42_neuron6_b.npy,56,15
43_neuron8_b.npy,56,39
44_neuron3_b.npy,56,35.5
44_neuron4_b.npy,42,13
45_neuron1_b.npy,40,5
45_neuron4_b.npy,44,40.5
45_neuron6_b.npy,55,33
45_neuron7_b.npy,56,35
46_neuron1_b.npy,40,32
47_neuron2_b.npy,40,35.5
47_neuron4_b.npy,46,6
47_neuron5_b.npy,56,16
48_neuron2_b.npy,48,36
51_neuron3_b.npy,56,4.5
54_neuron2_b.npy,43,6.5
57_neuron6_b.npy,40,7
63_neuron5_b.npy,44,18
64_neuron1_b.npy,41,6
65_neuron2_b.npy,51,15
65_neuron3_b.npy,56,16
66_neuron2_b.npy,55,5
66_neuron3_b.npy,41,1.5
73_neuron10b.npy,46,4.5
73_neuron1_b.npy,49,41.5
73_neuron2_b.npy,50,34.5
73_neuron4_b.npy,56,17
73_neuron5_b.npy,56,41.5
73_neuron6_b.npy,42,28.5
74_neuron5_b.npy,53,18
75_neuron1_b.npy,47,22
75_neuron6_b.npy,40,27
75_neuron7_b.npy,56,42
76_neuron2_b.npy,46,43.5
76_neuron5_b.npy,40,5
76_neuron7_b.npy,40,10
78_neuron3_b.npy,51,50.5
78_neuron4_b.npy,56,52
78_neuron7_b.npy,47,29.5
82_neuron1_b.npy,56,42
82_neuron4_b.npy,41,39
83_neuron1_b.npy,56,52
83_neuron2_b.npy,0,NA
83_neuron5_b.npy,56,50
83_neuron6_b.npy,40,1.5
84_neuron1_b.npy,56,49.5
85_neuron5_b.npy,42,8.5
85_neuron7_b.npy,49,46
86_neuron1_b.npy,56,3.5
87_neuron5_b.npy,40,14
87_neuron6_b.npy,54,9
