Neuron ID	Stable rate histograms
13_neuron3_before.npy',	0
31_neuron1_before.npy',	1
31_neuron2_before.npy',	1
32_neuron1_before.npy',	1
32_neuron2_before.npy',	1
33_neuron2_before.npy',	1
34_neuron1_before.npy',	1
41_neuron2_before.npy',	0
41_neuron6_before.npy',	1
43_neuron1_before.npy',	1
43_neuron3_before.npy',	1
43_neuron4_before.npy',	1
43_neuron5_before.npy',	0
44_neuron1_before.npy',	1
47_neuron2_before.npy',	1
53_neuron1_before.npy',	1
53_neuron2_before.npy',	0
54_neuron1_before.npy',	1
54_neuron2_before.npy',	1
55_neuron1_before.npy',	0
55_neuron2_before.npy',	1
55_neuron4_before.npy',	1
56_neuron1_before.npy',	1
56_neuron3_before.npy',	1
58_neuron2_before.npy',	1
58_neuron3_before.npy',	1
58_neuron6_before.npy',	1
58_neuron9_before.npy',	1
62_neuron1_before.npy',	1
63_neuron3_before.npy',	1
66_neuron1_before.npy',	1
66_neuron3_before.npy',	1
68_neuron1_before.npy',	1
68_neuron2_before.npy',	1
68_neuron3_before.npy',	1
68_neuron5_before.npy',	1
68_neuron6_before.npy',	0
72_neuron1_before.npy',	1
72_neuron2_before.npy',	1
72_neuron3_before.npy',	1
73_neuron2_before.npy',	1
75_neuron1_before.npy',	1
75_neuron4_before.npy',	0
75_neuron5_before.npy',	1
76_neuron1_before.npy',	1
76_neuron7_before.npy',	1
76_neuron8_before.npy',	1
82_neuron1_before.npy',	1
83_neuron3_before.npy',	0
83_neuron4_before.npy',	0
86_neuron2_before.npy	0
