CycID,JTK_period,JTK_adjphase
31_neuron1_b.npy,48,17.5
32_neuron1_b.npy,50,7
34_neuron1_b.npy,47,32.5
43_neuron1_b.npy,49,25.5
43_neuron3_b.npy,49,22
44_neuron1_b.npy,48,17
54_neuron2_b.npy,46,6
55_neuron4_b.npy,54,38.5
58_neuron5_b.npy,56,10
66_neuron1_b.npy,48,41
68_neuron3_b.npy,46,28.5
68_neuron5_b.npy,44,29.5
72_neuron1_b.npy,52,44.5
75_neuron1_b.npy,46,28.5
76_neuron1_b.npy,47,41
76_neuron8_b.npy,49,31.5
77_neuron2_b.npy,56,8.5
82_neuron1_b.npy,52,8.5
82_neuron2_b.npy,48,17.5
83_neuron3_b.npy,48,9
13_neuron3_b.npy,41,27.5
31_neuron2_b.npy,56,33.5
32_neuron2_b.npy,42,8.5
33_neuron2_b.npy,53,18
41_neuron1_b.npy,49,20.5
41_neuron2_b.npy,47,41
41_neuron6_b.npy,46,20
43_neuron4_b.npy,50,29.5
43_neuron5_b.npy,53,20.5
47_neuron2_b.npy,51,8
53_neuron1_b.npy,52,26.5
53_neuron2_b.npy,48,27.5
54_neuron1_b.npy,49,3.5
55_neuron1_b.npy,42,7.5
55_neuron2_b.npy,54,23.5
56_neuron1_b.npy,50,6
56_neuron3_b.npy,56,53
58_neuron1_b.npy,40,28
58_neuron2_b.npy,48,11
58_neuron3_b.npy,53,50.5
58_neuron6_b.npy,55,4.5
58_neuron9_b.npy,48,18
62_neuron1_b.npy,51,47.5
63_neuron3_b.npy,40,36
66_neuron3_b.npy,42,33
68_neuron1_b.npy,42,29.5
68_neuron2_b.npy,43,27
68_neuron4_b.npy,56,10
68_neuron6_b.npy,47,20
68_neuron7_b.npy,56,28
71_neuron1_b.npy,56,20
72_neuron2_b.npy,51,47.5
72_neuron3_b.npy,47,10
73_neuron2_b.npy,54,10
75_neuron3_b.npy,56,50
75_neuron4_b.npy,45,16
75_neuron5_b.npy,56,4.5
76_neuron4_b.npy,40,7
76_neuron7_b.npy,46,43
76_neuron9_b.npy,40,31
83_neuron4_b.npy,56,54.5
86_neuron2_b.npy,56,4
