Neuron ID	Usable Instant Freq (continuous)	Stable rate histograms
12_neuron4_before.npy',	1	0
14_neuron1_before.npy',	0	0
14_neuron2_before.npy',	1	0
14_neuron3_before.npy',	1	1
14_neuron4_before.npy',	1	0
14_neuron7_before.npy',	1	0
16_neuron5_before.npy',	0	0
23_neuron1_before.npy',	1	0
23_neuron4_before.npy',	1	0
25_neuron2_before.npy',	1	1
25_neuron4_before.npy',	1	1
26_neuron2_before.npy',	1	1
32_neuron1_before.npy',	1	1
32_neuron2_before.npy',	1	0
32_neuron3_before.npy',	1	1
32_neuron7_before.npy',	1	0
33_neuron1_before.npy',	1	1
33_neuron3_before.npy',	1	1
33_neuron4_before.npy',	1	0
33_neuron5_before.npy',	1	1
33_neuron6_before.npy',	1	1
33_neuron7_before.npy',	1	1
34_neuron1_before.npy',	1	0
35_neuron10before.npy',	1	1
35_neuron1_before.npy',	1	1
35_neuron6_before.npy',	1	0
35_neuron7_before.npy',	1	1
37_neuron2_before.npy',	1	1
42_neuron1_before.npy',	1	1
42_neuron3_before.npy',	1	1
42_neuron6_before.npy',	1	0
42_neuron9_before.npy',	1	1
43_neuron12before.npy',	1	0
43_neuron13before.npy',	1	0
43_neuron15before.npy',	1	0
43_neuron1_before.npy',	1	0
43_neuron7_before.npy',	1	0
44_neuron1_before.npy',	1	0
44_neuron3_before.npy',	1	1
45_neuron1_before.npy',	1	1
45_neuron3_before.npy',	1	1
45_neuron4_before.npy',	1	1
46_neuron3_before.npy',	1	0
46_neuron6_before.npy',	1	0
46_neuron8_before.npy',	1	0
46_neuron9_before.npy',	1	0
47_neuron1_before.npy',	1	0
47_neuron3_before.npy',	1	0
47_neuron4_before.npy',	1	1
47_neuron5_before.npy',	1	0
47_neuron7_before.npy',	1	0
47_neuron8_before.npy',	1	1
47_neuron9_before.npy',	1	1
48_neuron1_before.npy',	1	0
48_neuron3_before.npy',	1	1
48_neuron4_before.npy',	1	0
48_neuron5_before.npy',	1	0
48_neuron6_before.npy',	1	0
51_neuron1_before.npy',	1	1
52_neuron2_before.npy',	1	1
52_neuron3_before.npy',	1	1
52_neuron7_before.npy',	1	1
52_neuron8_before.npy',	1	1
52_neuron9_before.npy',	1	1
53_neuron11before.npy',	1	0
53_neuron2_before.npy',	1	0
53_neuron4_before.npy',	1	1
53_neuron5_before.npy',	1	0
53_neuron9_before.npy',	1	0
54_neuron10before.npy',	1	1
54_neuron1_before.npy',	0	0
54_neuron3_before.npy',	1	0
54_neuron4_before.npy',	1	1
54_neuron5_before.npy',	1	0
54_neuron7_before.npy',	1	1
54_neuron8_before.npy',	1	0
54_neuron9_before.npy',	1	0
55_neuron10before.npy',	0	0
55_neuron13before.npy',	1	0
55_neuron4_before.npy',	1	0
56_neuron3_before.npy',	1	1
56_neuron4_before.npy',	1	1
56_neuron8_before.npy',	1	0
57_neuron13before.npy',	0	0
62_neuron2_before.npy',	1	1
62_neuron5_before.npy',	1	1
62_neuron6_before.npy',	1	0
62_neuron7_before.npy',	1	1
62_neuron8_before.npy',	0	1
63_neuron1_before.npy',	1	1
63_neuron3_before.npy',	0	1
63_neuron8_before.npy',	1	1
64_neuron10before.npy',	1	0
64_neuron1_before.npy',	0	0
64_neuron7_before.npy',	1	0
65_neuron13before.npy',	1	1
65_neuron4_before.npy',	0	0
65_neuron6_before.npy',	1	0
67_neuron9_before.npy',	1	0
68_neuron1_before.npy',	1	1
68_neuron2_before.npy',	1	1
68_neuron5_before.npy',	1	0
68_neuron9_before.npy',	1	1
72_neuron11before.npy',	1	0
72_neuron12before.npy',	0	0
72_neuron13before.npy',	0	0
72_neuron1_before.npy',	1	1
72_neuron2_before.npy',	1	1
72_neuron4_before.npy',	1	1
72_neuron7_before.npy',	1	1
72_neuron9_before.npy',	1	0
73_neuron2_before.npy',	0	0
74_neuron1_before.npy',	0	1
74_neuron2_before.npy',	0	0
74_neuron4_before.npy',	0	1
74_neuron5_before.npy',	1	1
74_neuron6_before.npy',	0	0
74_neuron7_before.npy',	1	0
75_neuron10before.npy',	1	1
75_neuron2_before.npy',	0	0
75_neuron3_before.npy',	0	1
75_neuron4_before.npy',	1	0
75_neuron7_before.npy',	1	1
75_neuron8_before.npy',	1	0
76_neuron11before.npy',	1	1
76_neuron4_before.npy',	1	1
77_neuron1_before.npy',	1	1
83_neuron1_before.npy',	1	1
84_neuron13before.npy',	1	1
84_neuron2_before.npy',	1	1
84_neuron3_before.npy',	1	1
84_neuron5_before.npy',	1	1
84_neuron8_before.npy',	1	1
85_neuron3_before.npy',	1	1
85_neuron4_before.npy',	1	1
85_neuron5_before.npy',	1	0
85_neuron6_before.npy',	1	0
85_neuron7_before.npy',	1	1
85_neuron8_before.npy',	1	1
86_neuron2_before.npy',	1	0
86_neuron8_before.npy',	1	1
87_neuron4_before.npy'	1	1
