CycID,JTK_period,JTK_adjphase
14_neuron1_b.npy,40,2.5
14_neuron3_b.npy,45,29.5
16_neuron5_b.npy,41,9
23_neuron1_b.npy,50,8
25_neuron2_b.npy,53,10.5
25_neuron4_b.npy,49,21
26_neuron2_b.npy,47,19
32_neuron1_b.npy,47,25.5
32_neuron2_b.npy,52,48
32_neuron3_b.npy,48,22
33_neuron1_b.npy,44,8.5
33_neuron5_b.npy,44,16
33_neuron6_b.npy,50,0
33_neuron7_b.npy,51,49.5
34_neuron1_b.npy,40,32.5
35_neuron10b.npy,50,44.5
35_neuron1_b.npy,44,43.5
35_neuron6_b.npy,56,36
35_neuron7_b.npy,48,46
37_neuron2_b.npy,48,21
37_neuron3_b.npy,50,11.5
42_neuron1_b.npy,56,55
42_neuron3_b.npy,46,33
42_neuron4_b.npy,56,54
42_neuron6_b.npy,40,5
42_neuron7_b.npy,50,13
43_neuron1_b.npy,44,6
43_neuron8_b.npy,56,14
45_neuron1_b.npy,50,45.5
45_neuron3_b.npy,54,45.5
45_neuron4_b.npy,52,12.5
46_neuron3_b.npy,43,34
46_neuron6_b.npy,56,2.5
46_neuron8_b.npy,50,19
47_neuron3_b.npy,51,5.5
47_neuron4_b.npy,46,45
47_neuron5_b.npy,46,7.5
48_neuron1_b.npy,54,41.5
52_neuron1_b.npy,47,38.5
52_neuron2_b.npy,46,16
52_neuron3_b.npy,49,7.5
52_neuron5_b.npy,45,24.5
52_neuron7_b.npy,40,13
52_neuron8_b.npy,44,19
52_neuron9_b.npy,50,5.5
53_neuron4_b.npy,46,13.5
53_neuron5_b.npy,49,7
54_neuron10b.npy,49,12
54_neuron1_b.npy,40,18
54_neuron4_b.npy,43,21.5
54_neuron7_b.npy,49,14.5
54_neuron8_b.npy,49,15
55_neuron10b.npy,52,28
56_neuron5_b.npy,56,53.5
62_neuron2_b.npy,49,7
62_neuron7_b.npy,48,26.5
62_neuron8_b.npy,43,35
63_neuron1_b.npy,48,19.5
63_neuron3_b.npy,56,31
64_neuron1_b.npy,48,4.5
64_neuron7_b.npy,53,50
65_neuron2_b.npy,41,13.5
65_neuron3_b.npy,49,34.5
65_neuron4_b.npy,56,49
65_neuron6_b.npy,50,49
67_neuron5_b.npy,40,21
68_neuron1_b.npy,43,24
68_neuron4_b.npy,56,55
68_neuron5_b.npy,43,29.5
72_neuron1_b.npy,51,28
72_neuron2_b.npy,50,37
72_neuron4_b.npy,49,37
72_neuron7_b.npy,56,18.5
72_neuron9_b.npy,47,29.5
73_neuron1_b.npy,51,30
73_neuron2_b.npy,49,5
74_neuron1_b.npy,46,44.5
74_neuron2_b.npy,48,0.5
74_neuron4_b.npy,42,25.5
74_neuron5_b.npy,41,25.5
75_neuron10b.npy,49,20
75_neuron7_b.npy,49,2.5
76_neuron4_b.npy,45,21.5
77_neuron1_b.npy,51,47
83_neuron1_b.npy,56,54
84_neuron10b.npy,56,17
84_neuron1_b.npy,40,15
84_neuron2_b.npy,50,13
84_neuron3_b.npy,43,25
84_neuron5_b.npy,46,0.5
84_neuron8_b.npy,56,12.5
85_neuron3_b.npy,47,29
85_neuron6_b.npy,45,30.5
86_neuron2_b.npy,51,6
12_neuron4_b.npy,56,46.5
